id,source_path,source_lines,fact_category,status,destination_owners,evidence,disposition_rationale,verification,rollback_commit
decisions-durable-repo-decisions,.agents/memory/state/DECISIONS.md,12-58,Durable Repo Decisions,migrated,"AGENTS.md;.agents/references/source_order.md;.agents/references/human_owner_intent.md;.agents/references/agent_memory_templates.md;scripts/codex_transcript_extract.py","root guidance;source-order capture rule;debrief and transcript tests",Stable routing and capture rules now point directly to exact owners; generated-context and journal-authority statements are not promoted.,make check-agent-memory,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
decisions-technical-decisions,.agents/memory/state/DECISIONS.md,59-92,Technical Decisions,migrated,"aria_nbv/AGENTS.md;docs/AGENTS.md;docs/typst/shared/glossary.typ;.agents/references/human_owner_intent.md","package and docs guidance;glossary source;owner preference",Current package and docs contracts remain with their executable or narrative owners; obsolete generated-context wording is discarded.,make check-agent-memory,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
decisions-working-project-decisions,.agents/memory/state/DECISIONS.md,93-95,Working Project Decisions,already_owned,"docs/typst/thesis/main.typ;docs/contents/thesis/questions.qmd","active thesis title and research-question sources",The project name and thesis identity already resolve through active thesis sources.,make qmd-frontmatter-check,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
decisions-thesis-sharpening,.agents/memory/state/DECISIONS.md,96-141,2026-05-06 Thesis Sharpening Decisions,already_owned,"docs/contents/thesis/questions.qmd;docs/contents/thesis/roadmap.qmd;docs/typst/thesis/sections/01-introduction.typ","RQ definitions;roadmap gates;thesis introduction",The current RQ order target protocol Q_H boundary and scale reporting are already owned by active thesis sources.,make qmd-frontmatter-check,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
decisions-rollout-dto-store,.agents/memory/state/DECISIONS.md,142-157,2026-05-07 Rollout DTO And Store Decisions,already_owned,"aria_nbv/aria_nbv/rollouts/AGENTS.md;aria_nbv/aria_nbv/rollouts/trace.py;aria_nbv/aria_nbv/rollouts/zarr_store.py;aria_nbv/tests/rollouts","rollout owner guide;typed store implementation;rollout tests",Standalone rollout replay stochastic-policy provenance and target-supervision rules are executable package contracts.,cd aria_nbv && uv run pytest tests/rollouts,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
decisions-vin-offline-v7,.agents/memory/state/DECISIONS.md,158-172,2026-05-07 VIN Offline Store V7 Decisions,already_owned,"aria_nbv/aria_nbv/data_handling/AGENTS.md;aria_nbv/aria_nbv/data_handling/offline/format.py;aria_nbv/tests/data_handling/test_vin_offline_store.py","data owner guide;format constant;strict reader tests",The current strict immutable-store version and rebuild-only policy are owned by code tests and package guidance; the dated v7 number is historical.,cd aria_nbv && uv run pytest tests/data_handling/test_vin_offline_store.py,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
decisions-top-k-target-selector,.agents/memory/state/DECISIONS.md,173-185,2026-05-07 Top-K Target Selector Decisions,already_owned,"aria_nbv/aria_nbv/targets;aria_nbv/aria_nbv/oracle/target_selection.py;aria_nbv/tests/oracle/test_target_selection.py;docs/contents/thesis/questions.qmd","actor-safe target package;oracle selector;target tests;RQ3 contract",Current target selection and GT separation resolve through implementation tests and the actor-visible thesis contract.,cd aria_nbv && uv run pytest tests/oracle/test_target_selection.py,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
decisions-typst-notation,.agents/memory/state/DECISIONS.md,186-206,2026-05-09 Typst Thesis Notation Decisions,already_owned,"docs/typst/shared/glossary.typ;docs/typst/shared/notation.typ;docs/typst/shared/symbols.typ;docs/AGENTS.md","shared notation sources;docs owner guidance",Notation is source-owned by shared Typst definitions rather than a journal copy.,cd docs && typst compile typst/thesis/main.typ --root .,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
decisions-target-first-rollout,.agents/memory/state/DECISIONS.md,207-251,2026-05-20 Target-First RRI And Rollout Alignment Decisions,already_owned,"docs/contents/thesis/questions.qmd;docs/contents/thesis/roadmap.qmd;aria_nbv/aria_nbv/rollouts/AGENTS.md;aria_nbv/aria_nbv/rri_metrics/AGENTS.md;aria_nbv/tests/rollouts","thesis objective contract;rollout and RRI owners;rollout regression tests",Current target-first reward validity rollout schema and scale gates already resolve through thesis and executable owners.,cd aria_nbv && uv run pytest tests/rollouts,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
decisions-transcript-mined,.agents/memory/state/DECISIONS.md,252-326,2026-05-11 Transcript-Mined Project Decisions,already_owned,"docs/contents/thesis/questions.qmd;docs/contents/thesis/roadmap.qmd;aria_nbv/aria_nbv/rollouts/AGENTS.md;.agents/issues.toml;.agents/todos.toml","thesis contract;package owner;validated backlog",Current source-backed items are duplicates of thesis package and backlog owners; transcript provenance remains historical evidence only.,make agents-db AGENTS_ARGS='validate',57457ec31e0d3b56da7cb6ebdbb9fde6166de434
decisions-litkg,.agents/memory/state/DECISIONS.md,327-333,litkg Decisions 2026-05-11/12,already_owned,".configs/litkg.toml;.agents/external/litkg-rs;.agents/skills/semantic-scholar-litkg/SKILL.md;.agents/todos.toml","live LitKG config and implementation;operation skill;validated backlog",Current LitKG behavior remains owned by its live subsystem until WP6; dated runtime snapshots and resolved todo status are not promoted.,make kg-capabilities,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
