source,type,subject,final_state,target_pr,disposition,owner,reason,verification
4a12aac95d94ae1d03712d5f3e89908e7919f748,commit,chore(scaffold): record approved migration baseline,final-net,PR1,reimplement-minimally,Evidence and ownership contract,"Retain only registry, hashes, redaction, and transitions.",PR1 focused validator
2fda4412ae0e6dc3b8c5bf3261816aa7eef9f6b3,commit,feat(scaffold): enforce OMX artifact lifecycle,final-net,PR1,reimplement-minimally,Evidence and ownership contract,"Retain only registry, hashes, redaction, and transitions.",PR1 focused validator
74453f249bd7c7c8a4d4390f4c30dbcb6febfa8a,commit,feat(scaffold): implement unified Graphify contract,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
c5e8ad862072505bcfc45642664c689d64290872,commit,chore(graphify): sync canonical artifacts for WP2,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
2dcd4e3e8eb73a5b1cfb830464e01d89f64db471,commit,feat(scaffold): pin Matt Codex skill policy,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain only measured workflow routing.,PR3 runtime activation/outcome gates
7df9a573f57b98b30d91284c05671ee4a654b634,commit,chore(graphify): sync canonical artifacts for WP3,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
e4c1ce207df7141e44c5eb4f615037131569a19b,commit,feat(scaffold): retire canonical state journals,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Preserve historical evidence without restoring a truth layer.,PR2 migration/privacy/evaluation gates
4a00f3c73ca1fab4074b63b0e0ab785644ff7e76,commit,chore(graphify): sync canonical artifacts for WP4,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
fec2d445cecd78f1b778545620e61a4ca425a443,commit,feat(scaffold): consolidate ARIA skills,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain only measured workflow routing.,PR3 runtime activation/outcome gates
eaadf94c58ba6788584fdf530a6f98d16275eb21,commit,chore(graphify): sync canonical artifacts for WP5,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
b653199f5a01bca7b77e109e634b40e9e88efdc8,commit,refactor(scaffold): retire LitKG and generated context,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Preserve historical evidence without restoring a truth layer.,PR2 migration/privacy/evaluation gates
dcc378ecf3bafcbc0c722154b9a7ec443480c24e,commit,chore(graphify): refresh after scaffold retirement,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
ba495745bca158509a74f0b44b43da9b0b340a8f,commit,chore(scaffold): integrate final WP7 contracts,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
bceee418a38fcdbb194685deb4af13e7b67935af,commit,chore(graphify): sync final WP7 integration,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
9d78368802c287582dfd33212b40a1dea02a2fa6,commit,fix(scaffold): resolve final contract gaps,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
16dbc37055d03405213b234366d2ae71034fc440,commit,chore(graphify): sync review remediation,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
3f568c1a26dd8f948c351158df5f554ab42e860d,commit,fix(scaffold): exclude retired LitKG config from budget,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Preserve historical evidence without restoring a truth layer.,PR2 migration/privacy/evaluation gates
cf46a0e5b5b83edfc386c26b22d3af33efdb6fd6,commit,chore(graphify): sync scaffold budget correction,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
a727df1d66ad78c2e263a84259654293ed821ca0,commit,fix(scaffold): close final verification gaps,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
20278ed612ce68409d7ae6a651f39d4175840898,commit,chore(graphify): sync final verification fixes,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
8b5bb72c7363947bdbe24d0aba0f97d6f3c037ed,commit,fix(graphify): handle history activation bootstrap,transient-or-reverted,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
3f989def48c144a35c42c428870fca792c26e171,commit,chore(graphify): sync history bootstrap fix,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
cb20194daeafa5f6cbd938bafd2d70f7be15eafc,commit,fix(graphify): silence expected pre-contract lookup,transient-or-reverted,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
df49e430cbd0b5f35c9f05d49373fd7dc3beac7a,commit,chore(graphify): sync lookup noise fix,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
0635fe6f74c0fc4da1ad6e11957985b9a254d918,commit,fix(scaffold): bind exact fallback and OMX payload,final-net,PR1,reimplement-minimally,Evidence and ownership contract,"Retain only registry, hashes, redaction, and transitions.",PR1 focused validator
f31e1609ac8feca034ab9b3f9466df39f4748dea,commit,chore(graphify): sync exact fallback fix,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
98e04e3eb141afe88df7e7f35a6e3e92745a4386,commit,fix(scaffold): close final acceptance boundaries,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
58b7c7331f7ea8cb83a61b824495f8f951a35ca1,commit,chore(graphify): sync final acceptance boundaries,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
f88f1113b6103927d1b49cdcd5efe9cc0651c05c,commit,test(scaffold): isolate native OMX acceptance tempdir,final-net,PR1,reimplement-minimally,Evidence and ownership contract,"Retain only registry, hashes, redaction, and transitions.",PR1 focused validator
41ae017361a4578d33f2b958b358a57feb3969a6,commit,chore(graphify): sync OMX acceptance isolation,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
a5e7904c3181d612cef52894dbd0bdb1e52abc6a,commit,fix(scaffold): harden final policy boundaries,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
08b4845b10d3651c2ae1dbad1ced9ee4be2e61b7,commit,chore(graphify): sync final policy hardening,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
6cf53083a99610777ecb9c8c9c082786e7556cee,commit,fix(scaffold): close adversarial validation gaps,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
2eb159a1d33b429338637166b0a06a90a4047b7b,commit,chore(graphify): sync adversarial validation fixes,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
06523c291da69fc94a807dddc36b95fa2a04e548,commit,fix(scaffold): enforce complete validation parity,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
b1e35df951cc746f5d07455b888dbaf19931b13d,commit,chore(graphify): sync validation parity,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
4d1a3cc5f79cf62b21f7c725374103b55f2edfd9,commit,fix(scaffold): validate artifact history by ancestry,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
556eaa91469bbb9e276a95d4063a231e26fa4c07,commit,chore(graphify): sync ancestry validation,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
4ef9388ad83754a801a97325ab106e9bcd66ee13,commit,fix(scaffold): close retired owner and history gaps,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
b1ec3ada6c658e80415478d312f9061b90d49e5c,commit,chore(graphify): sync retired owner fixes,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
c3f6ec06a3e149a30790a368a4a1cb433bba08d1,commit,fix(graphify): validate squash products by final tree,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
34b183ef527748931e55f8194eb982f18ef8e756,commit,chore(graphify): sync squash validation,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
659d93e4e5f87a4aeb52df4160abfa7aa45cd414,commit,fix(graphify): reanchor history after squash,transient-or-reverted,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
39f54ac59b635eb7a49f1be6d2493598e566dbf2,commit,chore(graphify): sync squash reanchor,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
a3e67ed9780088c490acb5e0c1899177016d4c39,commit,test(graphify): restore skill isolation gate,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
67f677325e83719e0fb3dc8ff4c433e0303b146b,commit,chore(graphify): sync isolation gate,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
35c8eaf06a2b64d662f42f0b2c06ad1ddcd4b1de,commit,docs(scaffold): route review through retained capability,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
bfd264406ac419f14d3951c166b64f81d314fcf6,commit,chore(graphify): sync review routing,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
67de667544be8a8f4bb3af18ae6de754967dd83a,commit,fix(graphify): classify all hook corpus changes,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
fd9f29beb0718d4c240dea92771ce8574789f3c7,commit,chore(graphify): sync hook classification,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
5deca2db3d2f44120f8a01859de23d5cc7b8e19f,commit,test(graphify): cover scaffold hook dispatch,final-net,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
1a78be91a94bd31528e3860536b19f42bf671159,commit,chore(graphify): sync hook dispatch fixture,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
09cb3f77e52022cde272b3e4f2e7c8b4b9fbc953,commit,fix(scaffold): reject bare retired journal references,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
ef2153f134beeee4fb16101c0c1b963e530ca12a,commit,chore(graphify): sync journal retirement guard,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
26499dab5d25177e3d72bdb58f730b262b58bb5f,commit,fix(scaffold): close final acceptance gaps,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
8810e7253354d772d6aa0b0d1bc1eb1e50b6691c,commit,chore(graphify): sync final acceptance remediation,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
66ea0f852980b9760db4617ae2004eba46960796,commit,fix(scaffold): make final gates fail closed,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
a994626f514508bf3decfc96287c8ff28d4729b6,commit,chore(graphify): sync fail-closed gates,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
46abab27aa1e052dbe328d28e4a61da0d02ed875,commit,test(scaffold): assert LOC budget invariant,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
5307b1d569e8478dab61f240cfbc299967472b44,commit,chore(graphify): sync LOC budget invariant,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
2a52c00ac38dfe69b1f4ab6c0923f8344def6046,commit,fix(scaffold): preserve corrupt-state evidence,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
5061582b764b414b5e12cabc93f6a8a661dce9e7,commit,chore(graphify): sync corrupt-state guards,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
7a6e460c7ec4ae027a74ab2d987153d99e93eb4d,commit,Merge remote-tracking branch 'origin/docs-update-latest' into codex/agent-scaffold-refresh-v2,transient-or-reverted,PR5,prune-redundant,Git history inventory,The rebuild starts at the merge second parent; no merge replay.,first-parent inventory reconciliation
28c33e0690fe0abf20279f8ffb348b84c6fac5cc,commit,chore(graphify): sync docs-update-latest merge,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
28ff03d37d7b07746b88874d8d55cd9930e11b84,commit,docs: update advisor deck ownership paths,final-net,PR5,prune-redundant,Active source owner and PR5 prerequisite gate,Do not replay source-branch thesis changes.,no-diff or focused render prerequisite
004c8f311326512900019cb65365d254cf6b4aef,commit,chore(graphify): sync advisor deck paths,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
979106f1927ca3264c5f1738e9c8f23afb258b6e,commit,docs(thesis): use valid backward-arrow notation,final-net,PR5,prune-redundant,Active source owner and PR5 prerequisite gate,Do not replay source-branch thesis changes.,no-diff or focused render prerequisite
e239f6a738dad461aad864c365cedfe74e39a7a2,commit,chore(graphify): sync thesis arrow fix,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
e0ab5bbca7e1ab17ccaafdfa8186b868f09cc3b3,commit,fix(scaffold): share OMX registry path invariants,final-net,PR1,reimplement-minimally,Evidence and ownership contract,"Retain only registry, hashes, redaction, and transitions.",PR1 focused validator
97b1f526b1701e3ee0fe2ff3b07b53af0f01d33a,commit,chore(graphify): sync OMX registry invariants,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
09abaedd3b0210ccaacb695c7c866213bfa51dbc,commit,docs(thesis): refresh compiled thesis artifact,final-net,PR5,prune-redundant,Active source owner and PR5 prerequisite gate,Do not replay source-branch thesis changes.,no-diff or focused render prerequisite
4e10bc96af129a7bfcc4c7b917791886ff2b7d0c,commit,fix(graphify): inspect merge changes from first parent,transient-or-reverted,PR4,reimplement-minimally,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
6339bb74d8e382937d728318cc18ad07a9063eef,commit,chore(graphify): sync merge history guard,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
e51ed28ba3bca86eede9e70eb9466e14846adc39,commit,fix(scaffold): restore ARIA docs authoring contracts,final-net,PR5,reimplement-minimally,Integration and residual-pruning owner,Reassess after bounded owner PRs.,final integration and exact-head review
ccf22af127db3779effed473af861e27ce96b447,commit,chore(graphify): sync ARIA docs contracts,transient-or-reverted,PR4,prune-redundant,Graphify and hook owner,Rebuild from upstream-first target behavior.,PR4 retrieval/hook gates
e1fc3d56c2363248218b3594072f23ff254b04bc,commit,fix(scaffold): preserve skill prompt budget,final-net,PR3,reimplement-minimally,Skills and runtime-routing owner,Retain only measured workflow routing.,PR3 runtime activation/outcome gates
