id,category,surface,paths,owner,status,disposition,verification,rollback_commit
guidance-root,guidance,root-agent-guidance,AGENTS.md,root AGENTS.md,retain,Keep repository invariants and final source precedence,make check-agent-memory,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
guidance-claude,guidance,claude-entrypoint,CLAUDE.md,root AGENTS.md,migrate,Reduce to a compatibility pointer after active routes move,active reference scan,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
guidance-docs,guidance,docs-guidance,docs/AGENTS.md,docs source owners,retain,Keep public documentation and rendering boundaries,make check-agent-memory,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
guidance-package,guidance,package-guidance,aria_nbv/AGENTS.md,package source and tests,retain,Keep package wide implementation contracts,make check-agent-memory,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
guidance-data,guidance,data-handling-guidance,aria_nbv/aria_nbv/data_handling/AGENTS.md,data handling source and tests,retain,Keep data handling ownership contract,targeted package tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
guidance-rollouts,guidance,rollout-guidance,aria_nbv/aria_nbv/rollouts/AGENTS.md,rollout source and tests,retain,Keep rollout ownership contract,targeted package tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
guidance-rri,guidance,rri-guidance,aria_nbv/aria_nbv/rri_metrics/AGENTS.md,RRI source and tests,retain,Keep RRI ownership contract,targeted package tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
guidance-vin,guidance,vin-guidance,aria_nbv/aria_nbv/vin/AGENTS.md,VIN source and tests,retain,Keep VIN ownership contract,targeted package tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-agent-memory-templates,reference,agent_memory_templates.md,.agents/references/agent_memory_templates.md,debrief and source owners,migrate,Remove journal promotion fields and retain source backed debrief shape,make check-agent-memory,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-alignment-tools,reference,alignment_tools_contract.md,.agents/references/alignment_tools_contract.md,root operator boundaries,migrate,Remove LitKG overlap and keep optional tool boundary,active reference scan,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-context7,reference,context7_library_ids.md,.agents/references/context7_library_ids.md,retained operational skills,retain,Keep external documentation lookup IDs only where still consumed,reference existence check,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-external-stack,reference,external_stack_contracts.md,.agents/references/external_stack_contracts.md,package and thesis owners,migrate,Move stable contracts to exact package or thesis owners,active reference scan,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-human-owner,reference,human_owner_intent.md,.agents/references/human_owner_intent.md,human owner preference,retain,Keep only current human owner preferences,make check-agent-memory,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-litkg,reference,litkg_quick_reference.md,.agents/references/litkg_quick_reference.md,LitKG subsystem,retire,Remove with active LitKG after capability disposition closes,zero LitKG active references,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-matt-contract,reference,mattpocock_skills_contract.md,.agents/references/mattpocock_skills_contract.md,Codex Matt policy,migrate,Replace legacy setup contract with pinned WP3 policy,WP3 closure validator,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-matt-manifest,reference,mattpocock_skills_manifest.toml,.agents/references/mattpocock_skills_manifest.toml,Codex Matt policy,migrate,Replace with exact allowlist and closure hashes in WP3,WP3 closure validator,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-omx-policy,reference,omx_artifact_policy.md,.agents/references/omx_artifact_policy.md,OMX registry,migrate,Make the WP1 registry and validator authoritative,WP1 registry tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-omx-quick,reference,omx_quick_reference.md,.agents/references/omx_quick_reference.md,optional OMX operator guidance,migrate,Keep concise commands after registry lifecycle changes,WP1 registry tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-operator-quick,reference,operator_quick_reference.md,.agents/references/operator_quick_reference.md,root operator guidance,migrate,Remove stale state and LitKG routes while retaining bounded commands,active reference scan,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-python,reference,python_conventions.md,.agents/references/python_conventions.md,package guidance,retain,Keep Python conventions referenced by package work,reference existence check,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-rollout-invalidity,reference,rollout_zarr_q_invalidity_contract.md,.agents/references/rollout_zarr_q_invalidity_contract.md,rollout and storage owners,migrate,Move stable contract to nearest package owner and tests,targeted package tests,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-routing-fixtures,reference,scaffold_routing_fixtures.json,.agents/references/scaffold_routing_fixtures.json,scaffold routing tests,migrate,Rewrite for final eight ARIA skills and Matt isolation,make scaffold-audit-self-test,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-prune-verdict,reference,skill_prune_merge_verdict.md,.agents/references/skill_prune_merge_verdict.md,Git history,historical,Retain only as migration evidence until WP5 closes then archive or remove,WP5 source owner ledger,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-skill-style,reference,skill_style_guide.md,.agents/references/skill_style_guide.md,scaffold skill policy,migrate,Compact to final retained skill contract and size limits,make scaffold-audit,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-source-order,reference,source_order.md,.agents/references/source_order.md,root and nearest source owners,migrate,Remove journals and LitKG from authority order then align final ladder,make check-agent-memory,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-thesis-links,reference,thesis_code_links.md,.agents/references/thesis_code_links.md,thesis and package owners,retain,Keep horizontal links without authority duplication,docs validation,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-verification,reference,verification_matrix.md,.agents/references/verification_matrix.md,root verification contract,migrate,Remove retired commands and add final registry and graph gates,final verification matrix,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
reference-worktree,reference,worktree_policy.md,.agents/references/worktree_policy.md,root repository safety,retain,Keep dirty worktree and sibling worktree safety,make check-agent-memory,57457ec31e0d3b56da7cb6ebdbb9fde6166de434
