source,type,final_state,target_pr,disposition,owner,reason,verification
.agents/AGENTS_INTERNAL_DB.md,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/baselines/scaffold_wp0_baseline.json,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/baselines/scaffold_wp0_inventory.csv,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/baselines/scaffold_wp4_state_salvage.csv,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/baselines/scaffold_wp5_skill_dispositions.csv,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/baselines/scaffold_wp5_skill_inventory.json,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/baselines/scaffold_wp6_capability_dispositions.csv,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/baselines/scaffold_wp6_skill_inventory.json,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/external/litkg-rs,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/issues.toml,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/kg/README.md,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/memory/README.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/04/2026-04-30_litkg_agent_first_upgradability.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/05/2026-05-06_agents_scaffold_proposal_requirements_alignment.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/06/2026-06-17_advisor_deck_source_of_truth_autoresearch.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-22_wp1_omx_artifact_lifecycle.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-22_wp2_unified_graphify_contract.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-22_wp3_codex_matt_policy.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-22_wp4_state_journal_retirement.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-22_wp5_aria_skill_consolidation.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-22_wp6_litkg_generated_context_retirement.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-22_wp7_scaffold_integration.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-25_aria_docs_invariant_restoration.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-25_shared_equation_reuse_and_marker_ownership.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-25_shared_notation_and_marker_linkage.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-25_thesis_ase_efm_modality_grounding.md,path,transient-or-reverted,PR5,transient-or-reverted,Git history inventory,No final tree delta; preserve only the disposition record.,history/net set reconciliation
.agents/memory/history/2026/07/2026-07-25_thesis_state_modality_contract.md,path,transient-or-reverted,PR5,transient-or-reverted,Git history inventory,No final tree delta; preserve only the disposition record.,history/net set reconciliation
.agents/memory/history/2026/07/2026-07-25_typst_scientific_ownership_distillation.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-26_agent_scaffold_progressive_disclosure.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-26_aria_docs_typst_workflow_restoration.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-26_g007_integrated_validation_and_handoff.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-26_graphify_corpus_narrowing.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-26_graphify_native_merge_driver.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-26_graphify_query_wrapper_deletion.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-26_graphify_upstream_retrieval_simplification.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-26_native_thesis_equations.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-26_scaffold_usefulness_native_graphify.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/history/2026/07/2026-07-26_upstream_graphify_adapter.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/state/DECISIONS.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/state/GOTCHAS.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/state/OPEN_QUESTIONS.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/memory/state/PROJECT_STATE.md,path,final-net,PR2,reimplement-minimally,Memory and historical-evidence owner,Retain exact-owner fallback and only measured upstream retrieval gaps.,"claim migration, privacy, installed/absent, and retrieval evaluation"
.agents/omx_artifacts.toml,path,final-net,PR1,reimplement-minimally,Evidence and ownership contract,"Reconstruct only the minimal authority, privacy, and accepted-evidence contract.","OMX registry, hash, redaction, transition, and memory checks"
.agents/refactors.toml,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/references/agent_memory_templates.md,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/references/alignment_tools_contract.md,path,final-net,PR1,reimplement-minimally,Evidence and ownership contract,"Reconstruct only the minimal authority, privacy, and accepted-evidence contract.","OMX registry, hash, redaction, transition, and memory checks"
.agents/references/direct_source_claim_checklist.md,path,final-net,PR5,defer-with-owner,Integration and residual-pruning owner,Reassess only after PR1-PR4 behavior gates are green.,"final stale scan, accounting, CI, and exact-head review"
.agents/references/graphify_contract.md,path,final-net,PR4,reimplement-minimally,Graphify and hook owner,Use pinned upstream traversal and retain only measured ARIA corpus/parser gaps.,"retrieval precision, optional-tool fallback, and bounded-hook fixtures"
.agents/references/human_owner_intent.md,path,final-net,PR1,reimplement-minimally,Evidence and ownership contract,"Reconstruct only the minimal authority, privacy, and accepted-evidence contract.","OMX registry, hash, redaction, transition, and memory checks"
