skill,rule_family,status,destination_owners,evidence,verification,rationale
agent-behavior,lane selection and assumptions,migrated,AGENTS.md,root Routing,make check-agent-memory,Universal preflight is a repository invariant rather than an invocation branch.
agent-behavior,dirty worktree and request traceability,migrated,AGENTS.md,root Non-Negotiables and Routing,make check-agent-memory,Repository safety remains model-visible without a broad skill.
agent-behavior,non-trivial debrief workflow,already_owned,AGENTS.md;.agents/references/agent_memory_templates.md,root Debriefs and native template,make check-agent-memory,WP4 owner model already keeps debrief behavior active.
aria-nbv-mermaid,Mermaid routing and local lint,migrated,.agents/skills/aria-docs/SKILL.md;.agents/skills/aria-docs/references/mermaid.md;docs/AGENTS.md,progressive Mermaid branch plus docs Diagram Rules,make scaffold-audit,The operational branch is preserved behind the compact aria-docs router.
aria-nbv-mermaid,notation projection and visual grammar,already_owned,tools/mermaid/references/aria_symbol_map.yaml;tools/mermaid/references/aria_mermaid_style.md,curated symbol map and style guide,python tools/mermaid/scripts/aria_mermaid_lint.py tools/mermaid/templates/flowchart_scientific.mmd,Stable diagram facts stay with tooling.
aria-nbv-mermaid,templates lint and render helpers,already_owned,tools/mermaid/templates;tools/mermaid/scripts,repo-owned Mermaid tooling,make mermaid-lint,Reusable helpers do not need a standalone skill.
code-review-aria-nbv,review workflow,duplicate,AGENTS.md;.agents/references/source_order.md,root ownership constraints and selected generic review capability,make scaffold-audit,The pinned generic review workflow operates under repository rules.
code-review-aria-nbv,ARIA domain review context,already_owned,aria_nbv/AGENTS.md;aria_nbv/aria_nbv/rollouts/AGENTS.md;docs/AGENTS.md,nearest package and docs guides,make check-agent-memory,Domain evidence resolves through touched owners.
counterfactual-rollout-planner,finite-candidate replay ownership,already_owned,aria_nbv/aria_nbv/rollouts/AGENTS.md,rollout Public Contracts and Boundary Rules,cd aria_nbv && uv run pytest tests/rollouts,Executable owner already carries the contract.
counterfactual-rollout-planner,budgets stochastic branches and provenance,migrated,aria_nbv/aria_nbv/rollouts/AGENTS.md,rollout budget and provenance primer,cd aria_nbv && uv run pytest tests/rollouts/test_replay_policies.py,Stable planning inputs moved to the package owner.
counterfactual-rollout-planner,Q_H scientific scope,already_owned,docs/contents/thesis/questions.qmd;docs/typst/thesis/sections/04-method;docs/typst/thesis/sections/05-experimental-design,RQ and active thesis method/evaluation owners,make qmd-frontmatter-check,Scientific scope remains with thesis sources.
diagnose-aria,generic reproducer and isolation loop,duplicate,AGENTS.md,root diagnostic routing plus selected diagnostic capability,make scaffold-audit,No ARIA-specific invocation branch remains.
diagnose-aria,surface verification commands,already_owned,.agents/references/verification_matrix.md;aria_nbv/AGENTS.md;docs/AGENTS.md,exact verification owners,make check-agent-memory,Commands remain discoverable by surface.
docs-curator,Quarto routing and public boundary,migrated,.agents/skills/aria-docs/SKILL.md;docs/AGENTS.md,aria-docs Quarto branch and docs priorities,make scaffold-audit,The branch is merged without duplicating narrative truth.
docs-curator,source roles navigation and frontmatter,already_owned,docs/AGENTS.md;docs/_quarto.yml,docs guidance and navigation config,make qmd-frontmatter-check,Durable docs policy stays outside skills.
entity-aware-rri,target actor oracle visibility,already_owned,docs/contents/theory/candidate_sampling_target_selection.qmd;docs/typst/thesis/sections/03-oracle-and-data-generation,active theory and thesis protocol,make qmd-frontmatter-check,Scientific target protocol already has narrative owners.
entity-aware-rri,target invalidity and no scene fallback,migrated,aria_nbv/aria_nbv/rri_metrics/AGENTS.md;aria_nbv/aria_nbv/rollouts/AGENTS.md,target RRI and rollout primers,cd aria_nbv && uv run pytest tests/oracle/test_target_selection.py,Stable package invariants moved to nearest owners.
entity-aware-rri,target selection and labels,already_owned,aria_nbv/aria_nbv/targets;aria_nbv/aria_nbv/oracle/target_selection.py;aria_nbv/aria_nbv/oracle/target_rri.py;aria_nbv/tests/oracle,typed code and tests,cd aria_nbv && uv run pytest tests/oracle/test_target_selection.py,Executable contracts remain authoritative.
nbv-geometry-contracts,frame transform shape and unit primer,migrated,aria_nbv/AGENTS.md,package Geometry Contracts,cd aria_nbv && uv run pytest tests/rendering/test_depth_backprojection_conventions.py,Shared geometry rules moved to package guidance.
nbv-geometry-contracts,projection backprojection and frusta,already_owned,aria_nbv/aria_nbv/rendering;aria_nbv/aria_nbv/vin/geometry;aria_nbv/tests/rendering,typed APIs docstrings and tests,cd aria_nbv && uv run pytest tests/rendering,Executable geometry remains source-owned.
nbv-geometry-contracts,CW90 display separation,already_owned,aria_nbv/aria_nbv/utils/frames.py;aria_nbv/aria_nbv/rerun_inspector/_geometry.py;aria_nbv/tests/rerun_inspector,docstrings implementation and tests,cd aria_nbv && uv run pytest tests/rerun_inspector,Display transforms remain symbol-local and tested.
simplification,generic pruning workflow,duplicate,AGENTS.md;.agents/references/source_order.md,root scope and ownership constraints plus selected generic codebase-design capability,make scaffold-audit,The project-specific skill duplicated the external workflow.
simplification,skill pruning budget,migrated,.agents/references/skill_style_guide.md;scripts/scaffold_audit.py,style guide and enforced hot-path budget,make scaffold-audit,Skill-specific pruning remains machine checked.
typst-authoring,Typst prose notation and render workflow,migrated,.agents/skills/aria-docs/SKILL.md;.agents/skills/aria-docs/references/workflow.md;docs/AGENTS.md;docs/typst/thesis/main.typ;docs/typst/shared,progressively disclosed Typst thesis slide and visual contracts,make scaffold-audit,Project-specific authoring invariants remain available without loading them all on activation.
typst-authoring,shared notation bibliography and thesis structure,already_owned,docs/typst/shared;docs/references.bib;docs/typst/thesis/main.typ,active source owners,cd docs && typst compile typst/thesis/main.typ --root .,Durable document truth remains in document sources.
typst-authoring,vendored package manuals stale fixtures and generic Typst tutorials,obsolete,docs/AGENTS.md;docs/typst/shared;tools/mermaid;.agents/skills/aria-docs/references,exact owners plus concise task references,make check-agent-memory,Project invariants are retained while bulky package copies archived templates and generic tutorials remain removed.
zarr-python,storage ownership split,migrated,aria_nbv/aria_nbv/data_handling/AGENTS.md;aria_nbv/aria_nbv/rollouts/AGENTS.md,offline versus rollout storage primers,cd aria_nbv && uv run pytest tests/data_handling/test_vin_offline_store.py tests/rollouts/test_zarr_store.py,Stable ownership moved to package guides.
zarr-python,Zarr API and dependency behavior,already_owned,aria_nbv/pyproject.toml;aria_nbv/aria_nbv/data_handling/offline/store.py;aria_nbv/aria_nbv/rollouts/zarr_store.py,pinned dependency and writer reader implementations,cd aria_nbv && uv run pytest tests/data_handling/test_vin_offline_store.py tests/rollouts/test_zarr_store.py,Library facts remain in dependency source code tests and official docs at use time.
zarr-python,manifest chunk codec and selected-depth details,already_owned,aria_nbv/aria_nbv/data_handling/README.md;aria_nbv/aria_nbv/rollouts/trace.py;aria_nbv/aria_nbv/rollouts/zarr_store.py,human subsystem orientation and typed schema owners,cd aria_nbv && uv run pytest tests/rollouts/test_zarr_store.py,Storage details remain near artifacts and tests.
