iteration	candidate	hypothesis	primary	runtime_s	peak_memory_mb	non_test_loc	decision	artifact
0	initial_point_face_mojo	Direct Mojo can replace the CPU point-to-face forward path without changing its public contract.	parity_pass_11_tests	0.008884	NA	1117	keep	tests/test_point_mesh_mojo.py; CPU baseline 0.058596 s
0	initial_raster_mojo	A restricted K=1 Mojo raster forward can replace the matching CPU path.	parity_pass_9_raster_plus_11_point_tests	0.002485	NA	1117	keep	tests/test_rasterize_meshes_mojo.py; CPU baseline 0.004112 s
1	centralize_dispatch	Owning Mojo eligibility and fallback in one fork module deletes duplicated caller branches.	parity_pass_20_tests	NA	NA	1096	keep	commit 147dd70; 21 necessary non-test LOC deleted
2	hoist_tensor_pointer_conversion	Converting validated tensor pointers once outside parallel work items reduces work and Mojo LOC.	parity_pass_20_tests	0.003707542	NA	1052	keep	point-to-face: baseline 0.003713458 s (-0.16%)
2	hoist_tensor_pointer_conversion	Converting validated tensor pointers once outside parallel work items reduces work and Mojo LOC.	parity_pass_20_tests	0.003808625	NA	1052	keep	face-to-point: baseline 0.004123166 s (-7.63%)
2	hoist_tensor_pointer_conversion	Converting validated tensor pointers once outside parallel work items reduces work and Mojo LOC.	parity_pass_20_tests	0.005778459	NA	1052	keep	raster: baseline 0.005746792 s (+0.55%, within gate); 44 Mojo LOC deleted
3	packed_ragged_scheduling	Scheduling only real packed entries avoids padded work in ragged batches.	parity_pass_20_tests	0.007480319	NA	1060	discard	point-to-face uniform: baseline 0.005665653 s (+32.0%)
3	packed_ragged_scheduling	Scheduling only real packed entries avoids padded work in ragged batches.	parity_pass_20_tests	0.002295750	NA	1060	discard	point-to-face ragged: baseline 0.008624778 s (-73.4%)
3	packed_ragged_scheduling	Scheduling only real packed entries avoids padded work in ragged batches.	parity_pass_20_tests	0.007323986	NA	1060	discard	face-to-point uniform: baseline 0.005760139 s (+27.2%)
3	packed_ragged_scheduling	Scheduling only real packed entries avoids padded work in ragged batches.	parity_pass_20_tests	0.002156833	NA	1060	discard	face-to-point ragged: baseline 0.008671931 s (-75.1%); candidate reverted exactly
4	reuse_raster_face_area	The cyclic edge expression already computed for degeneracy is the barycentric denominator, so a second edge evaluation is redundant.	e2e_scientific_parity_failed	0.002105708	NA	1052	discard	three-process median improved 3.06%, but CPU-reference rollout changed target_pm_dist_after by 5.413e-15 and amplified target_root_gain/target_rri/selection_logits by 0.0054137; selected rows/poses/depth stayed equal; original cyclic evaluation restored
